Time [s]	Voltage[V]_HV_Batt_net_500A_clamp	Current[A]_HV_Batt_net_500A_clamp	Power[W]_HV_Batt_net_500A_clamp	Integrated_Current[Ah]_HV_Batt_net_500A_clamp	Integrated_Power[Wh]_HV_Batt_net_500A_clamp	Voltage[V]_12V_DCDC_Out	Current[A]_12V_DCDC_Out	Power[W]_12V_DCDC_Out	Integrated_Current[Ah]_12V_DCDC_Out	Integrated_Power[Wh]_12V_DCDC_Out	Voltage[V]_12V_batt_gnd	Current[A]_12V_batt_gnd	Power[W]_12V_batt_gnd	Integrated_Current[Ah]_12V_batt_gnd	Integrated_Power[Wh]_12V_batt_gnd	Voltage[V]_AC_Compressor	Current[A]_AC_Compressor	Power[W]_AC_Compressor	Integrated_Current[Ah]_AC_Compressor	Integrated_Power[Wh]_AC_Compressor	Voltage[V]_PTC_Coolant_Heater	Current[A]_PTC_Coolant_Heater	Power[W]_PTC_Coolant_Heater	Integrated_Current[Ah]_PTC_Coolant_Heater	Integrated_Power[Wh]_PTC_Coolant_Heater	Voltage[V]_AC_Charge	Current[A]_AC_Charge	Power[W]_AC_Charge	Integrated_Current[Ah]_AC_Charge	Integrated_Power[Wh]_AC_Charge
2385	367.87	-17.35	-6380	-11.589	-4108	14.869	9.65	143.5	6.018	89.49	14.868	-0.818	-12.2	-0.6355	-9.64	367.83	0.018	7	0.0144	5	367.88	0.003	1	0.0014	0.5	237.04	28.92	6851	18.8422	4460.4
2390	367.89	-17.02	-6260	-11.613	-4117	14.869	9.62	143.1	6.031	89.69	14.868	-0.865	-12.9	-0.6367	-9.66	367.86	0.019	7	0.0144	5	367.91	0.002	1	0.0014	0.5	236.71	28.962	6852	18.8825	4469.9
2395	367.95	-17.43	-6410	-11.637	-4126	14.87	9.66	143.6	6.044	89.89	14.869	-0.871	-12.9	-0.6379	-9.67	367.92	0.019	7	0.0144	5.1	367.96	0.002	1	0.0014	0.5	236.99	28.982	6864	18.9227	4479.4
2400	367.98	-17.08	-6290	-11.661	-4135	14.869	9.59	142.6	6.058	90.09	14.868	-0.818	-12.2	-0.639	-9.69	367.93	0.019	7	0.0145	5.1	367.97	0.002	1	0.0014	0.5	236.89	29.003	6866	18.963	4489
2405	368.01	-17.27	-6360	-11.685	-4143	14.87	9.62	143.1	6.071	90.29	14.869	-0.835	-12.4	-0.6402	-9.71	367.97	0.018	7	0.0145	5.1	368.01	0.002	1	0.0014	0.5	237.08	28.888	6844	19.0032	4498.5
2410	368.05	-17.3	-6370	-11.708	-4152	14.871	8.15	121.1	6.084	90.48	14.869	-0.801	-11.9	-0.6413	-9.73	368	0.02	7	0.0145	5.1	368.06	0.002	1	0.0014	0.5	236.66	28.994	6857	19.0434	4508
2415	368.09	-17.45	-6420	-11.733	-4161	14.869	7.96	118.3	6.095	90.65	14.869	-0.801	-11.9	-0.6425	-9.74	368.06	0.02	7	0.0145	5.1	368.08	0.002	1	0.0014	0.5	236.85	28.997	6863	19.0836	4517.5
2420	368.11	-17.13	-6310	-11.756	-4170	14.87	8.03	119.5	6.106	90.81	14.869	-0.786	-11.7	-0.6436	-9.76	368.07	0.019	7	0.0146	5.1	368.11	0.002	1	0.0014	0.5	236.6	28.93	6840	19.1239	4527.1
2425	368.14	-17.11	-6300	-11.78	-4179	14.87	7.97	118.5	6.118	90.98	14.869	-0.777	-11.6	-0.6448	-9.78	368.12	0.02	7	0.0146	5.1	368.14	0.002	1	0.0014	0.5	236.86	28.878	6836	19.1641	4536.6
2430	368.19	-17.37	-6400	-11.804	-4187	14.87	8.08	120.2	6.129	91.14	14.869	-0.861	-12.8	-0.6459	-9.79	368.12	0.019	7	0.0146	5.1	368.19	0.002	1	0.0014	0.5	236.66	28.88	6831	19.2043	4546.1
2435	368.21	-17.16	-6320	-11.828	-4196	14.871	8.01	119	6.14	91.31	14.87	-0.845	-12.6	-0.647	-9.81	368.17	0.02	8	0.0147	5.1	368.2	0.002	1	0.0014	0.5	236.71	28.878	6832	19.2445	4555.6
2440	368.26	-17.28	-6370	-11.852	-4205	14.87	8.05	119.7	6.151	91.47	14.869	-0.811	-12.1	-0.6482	-9.83	368.21	0.019	7	0.0147	5.1	368.26	0.002	1	0.0014	0.5	236.8	28.934	6847	19.2847	4565.1
2445	368.27	-17.12	-6310	-11.876	-4214	14.869	8.03	119.4	6.162	91.64	14.868	-0.809	-12	-0.6493	-9.84	368.26	0.019	7	0.0147	5.2	368.28	0.002	1	0.0014	0.5	236.88	28.952	6854	19.3248	4574.6
2450	368.32	-17.3	-6370	-11.9	-4223	14.871	8.04	119.6	6.173	91.81	14.871	-0.826	-12.3	-0.6504	-9.86	368.25	0.019	7	0.0147	5.2	368.32	0.002	1	0.0014	0.5	236.72	28.872	6830	19.365	4584.1
2455	368.35	-17.38	-6400	-11.924	-4232	14.871	7.97	118.6	6.184	91.97	14.87	-0.82	-12.2	-0.6516	-9.88	368.31	0.02	7	0.0148	5.2	368.34	0.002	1	0.0014	0.5	236.94	28.889	6841	19.4049	4593.6
2460	368.37	-17.01	-6270	-11.948	-4240	14.871	8.07	120	6.195	92.14	14.87	-0.809	-12	-0.6527	-9.9	368.32	0.019	7	0.0148	5.2	368.37	0.002	1	0.0014	0.5	236.79	28.911	6842	19.4453	4603.1
2465	368.43	-17.4	-6410	-11.972	-4249	14.87	8	118.9	6.206	92.3	14.869	-0.834	-12.4	-0.6538	-9.91	368.39	0.02	7	0.0148	5.2	368.43	0.002	1	0.0014	0.5	237.04	28.913	6849	19.4852	4612.6
2470	368.44	-17.04	-6280	-11.995	-4258	14.869	7.99	118.9	6.218	92.47	14.868	-0.834	-12.4	-0.655	-9.93	368.4	0.02	7	0.0148	5.2	368.43	0.002	1	0.0014	0.5	236.68	28.854	6825	19.5254	4622.1
2475	368.49	-17.38	-6410	-12.02	-4267	14.872	8.07	120.1	6.229	92.63	14.871	-0.842	-12.5	-0.6561	-9.95	368.45	0.019	7	0.0149	5.2	368.49	0.002	1	0.0015	0.5	237.04	28.946	6857	19.5655	4631.6
2480	368.49	-16.95	-6250	-12.043	-4276	14.868	7.99	118.8	6.24	92.8	14.867	-0.778	-11.6	-0.6572	-9.96	368.45	0.02	7	0.0149	5.2	368.49	0.002	1	0.0015	0.5	236.78	28.871	6832	19.6057	4641.1
2485	368.55	-17.32	-6380	-12.067	-4284	14.87	7.96	118.4	6.251	92.96	14.869	-0.782	-11.6	-0.6583	-9.98	368.51	0.02	7	0.0149	5.2	368.55	0.002	1	0.0015	0.5	236.97	28.849	6832	19.6458	4650.6
2490	368.58	-17.22	-6350	-12.091	-4293	14.869	7.97	118.5	6.262	93.13	14.869	-0.826	-12.3	-0.6595	-10	368.53	0.02	7	0.015	5.2	368.58	0.002	1	0.0015	0.5	236.88	28.92	6846	19.686	4660.1
2495	368.63	-17.41	-6420	-12.115	-4302	14.87	8.03	119.4	6.273	93.29	14.869	-0.785	-11.7	-0.6606	-10.01	368.58	0.02	7	0.015	5.3	368.61	0.002	1	0.0015	0.5	236.95	28.944	6854	19.7262	4669.6
2500	368.64	-17.05	-6290	-12.139	-4311	14.869	7.94	118.1	6.284	93.46	14.867	-0.759	-11.3	-0.6617	-10.03	368.59	0.019	7	0.015	5.3	368.63	0.002	1	0.0015	0.5	236.99	28.963	6859	19.7664	4679.2
2505	368.69	-17.38	-6410	-12.163	-4320	14.87	8.03	119.4	6.295	93.62	14.869	-0.838	-12.5	-0.6628	-10.05	368.65	0.02	7	0.015	5.3	368.69	0.002	1	0.0015	0.5	237.1	28.935	6856	19.8066	4688.7
2510	368.7	-17.02	-6270	-12.187	-4328	14.871	7.97	118.4	6.307	93.79	14.87	-0.808	-12	-0.6639	-10.06	368.66	0.02	7	0.0151	5.3	368.69	0.002	1	0.0015	0.5	236.94	28.85	6832	19.8467	4698.2
2515	368.75	-17.39	-6410	-12.21	-4337	14.87	8.07	120	6.318	93.96	14.869	-0.803	-11.9	-0.6651	-10.08	368.7	0.019	7	0.0151	5.3	368.76	0.002	1	0.0015	0.5	237.12	28.946	6859	19.8869	4707.7
2520	368.77	-17.22	-6350	-12.235	-4346	14.87	7.95	118.2	6.329	94.12	14.869	-0.805	-12	-0.6662	-10.1	368.74	0.02	7	0.0151	5.3	368.76	0.002	1	0.0015	0.5	236.94	28.973	6861	19.9271	4717.2
2525	368.8	-17.17	-6330	-12.258	-4355	14.869	7.99	118.8	6.34	94.29	14.868	-0.77	-11.4	-0.6673	-10.11	368.75	0.019	7	0.0151	5.3	368.79	0.002	1	0.0015	0.5	237.2	28.931	6858	19.9672	4726.7
2530	368.84	-17.3	-6380	-12.282	-4364	14.871	8.04	119.6	6.351	94.45	14.87	-0.839	-12.5	-0.6684	-10.13	368.8	0.019	7	0.0152	5.3	368.84	0.002	1	0.0015	0.5	236.86	28.946	6852	20.0074	4736.3
2535	368.86	-17.09	-6300	-12.306	-4372	14.871	7.99	118.8	6.362	94.62	14.87	-0.801	-11.9	-0.6695	-10.15	368.83	0.02	8	0.0152	5.3	368.86	0.002	1	0.0015	0.5	237.15	28.941	6859	20.0476	4745.8
2540	368.9	-17.3	-6380	-12.33	-4381	14.869	7.96	118.3	6.373	94.78	14.869	-0.77	-11.4	-0.6706	-10.16	368.86	0.019	7	0.0152	5.3	368.91	0.001	1	0.0015	0.5	236.89	28.962	6857	20.0878	4755.3
2545	368.91	-17.06	-6290	-12.354	-4390	14.871	8.01	119.2	6.384	94.95	14.87	-0.81	-12	-0.6717	-10.18	368.88	0.02	8	0.0153	5.4	368.92	0.002	1	0.0015	0.5	237.19	28.842	6837	20.128	4764.8
2550	368.97	-17.3	-6380	-12.378	-4399	14.87	8.02	119.3	6.396	95.11	14.869	-0.769	-11.4	-0.6729	-10.19	368.91	0.019	7	0.0153	5.4	368.96	0.002	1	0.0015	0.5	236.76	28.979	6857	20.1681	4774.4
2555	368.97	-17.13	-6320	-12.402	-4408	14.869	7.98	118.6	6.407	95.28	14.868	-0.79	-11.7	-0.674	-10.21	368.97	0.02	7	0.0153	5.4	368.99	0.002	1	0.0015	0.6	236.89	28.936	6850	20.2084	4783.9
2560	369.01	-17	-6270	-12.426	-4417	14.87	8.03	119.5	6.418	95.44	14.869	-0.82	-12.2	-0.6751	-10.23	368.96	0.02	7	0.0153	5.4	369.02	0.002	1	0.0015	0.6	236.92	28.905	6844	20.2485	4793.4
2565	369.05	-17.36	-6410	-12.45	-4425	14.871	8	119	6.429	95.61	14.87	-0.798	-11.9	-0.6762	-10.24	369.01	0.02	7	0.0154	5.4	369.06	0.002	1	0.0015	0.6	236.91	28.887	6839	20.2887	4802.9
2570	369.07	-17.05	-6290	-12.473	-4434	14.871	8.03	119.5	6.44	95.77	14.869	-0.768	-11.4	-0.6773	-10.26	369.05	0.02	7	0.0154	5.4	369.07	0.002	1	0.0015	0.6	236.61	28.951	6846	20.3289	4812.4
2575	369.11	-17.18	-6340	-12.497	-4443	14.87	7.95	118.2	6.451	95.94	14.869	-0.81	-12	-0.6784	-10.28	369.07	0.02	8	0.0154	5.4	369.11	0.002	1	0.0015	0.6	236.97	28.977	6862	20.3691	4821.9
2580	369.14	-17.18	-6340	-12.521	-4452	14.87	8.01	119	6.462	96.1	14.869	-0.775	-11.5	-0.6795	-10.29	369.09	0.019	7	0.0154	5.4	369.16	0.002	1	0.0015	0.6	236.66	29.035	6867	20.4096	4831.5
2585	369.17	-17.35	-6410	-12.545	-4461	14.871	7.98	118.7	6.473	96.27	14.87	-0.793	-11.8	-0.6806	-10.31	369.13	0.02	7	0.0155	5.4	369.18	0.002	1	0.0015	0.6	237	28.87	6838	20.4498	4841
2590	369.18	-17.02	-6290	-12.569	-4469	14.871	8.03	119.5	6.484	96.43	14.871	-0.845	-12.6	-0.6817	-10.33	369.15	0.02	7	0.0155	5.4	369.19	0.002	1	0.0015	0.6	236.58	29.031	6864	20.49	4850.5
2595	369.24	-17.26	-6370	-12.593	-4478	14.869	7.97	118.5	6.495	96.6	14.869	-0.812	-12.1	-0.6828	-10.34	369.18	0.02	7	0.0155	5.5	369.24	0.002	1	0.0015	0.6	236.69	29.007	6861	20.5302	4860.1
2600	369.28	-17.38	-6420	-12.617	-4487	14.869	7.96	118.4	6.507	96.76	14.868	-0.766	-11.4	-0.6839	-10.36	369.22	0.019	7	0.0156	5.5	369.27	0.002	1	0.0015	0.6	236.52	29.038	6864	20.5704	4869.6
2605	369.28	-17.11	-6320	-12.641	-4496	14.871	8.06	119.9	6.518	96.93	14.87	-0.817	-12.2	-0.685	-10.38	369.25	0.021	8	0.0156	5.5	369.29	0.002	1	0.0015	0.6	236.81	28.931	6847	20.6107	4879.1
2610	369.31	-17.12	-6320	-12.664	-4505	14.868	7.89	117.3	6.529	97.09	14.868	-0.757	-11.3	-0.6861	-10.39	369.27	0.019	7	0.0156	5.5	369.32	0.002	1	0.0015	0.6	236.5	28.987	6851	20.6509	4888.6
2615	369.35	-17.3	-6390	-12.688	-4513	14.87	8	119	6.54	97.26	14.87	-0.81	-12	-0.6872	-10.41	369.31	0.019	7	0.0156	5.5	369.36	0.002	1	0.0015	0.6	236.81	28.902	6840	20.6911	4898.1
2620	369.37	-17.06	-6300	-12.712	-4522	14.87	7.99	118.8	6.551	97.42	14.869	-0.787	-11.7	-0.6883	-10.42	369.35	0.02	8	0.0157	5.5	369.37	0.002	1	0.0015	0.6	236.52	29.049	6867	20.7313	4907.7
2625	369.41	-17.22	-6360	-12.736	-4531	14.87	8.01	119	6.562	97.59	14.869	-0.788	-11.7	-0.6894	-10.44	369.36	0.019	7	0.0157	5.5	369.43	0.002	1	0.0015	0.6	236.79	28.974	6856	20.7716	4917.2
2630	369.43	-17.19	-6350	-12.76	-4540	14.87	7.96	118.4	6.573	97.75	14.869	-0.826	-12.3	-0.6905	-10.46	369.41	0.02	8	0.0157	5.5	369.44	0.002	1	0.0015	0.6	236.66	29.007	6860	20.8118	4926.7
2635	369.46	-17.18	-6350	-12.784	-4549	14.869	7.98	118.7	6.584	97.92	14.869	-0.776	-11.5	-0.6916	-10.47	369.41	0.02	7	0.0157	5.5	369.47	0.002	1	0.0015	0.6	236.73	28.906	6839	20.8521	4936.2
2640	369.49	-17.18	-6350	-12.808	-4558	14.871	7.98	118.7	6.595	98.08	14.869	-0.785	-11.7	-0.6927	-10.49	369.47	0.019	7	0.0158	5.5	369.51	0.002	1	0.0015	0.6	236.51	29.053	6867	20.8923	4945.7
2645	369.5	-16.97	-6270	-12.832	-4566	14.871	8.03	119.4	6.606	98.25	14.87	-0.791	-11.8	-0.6938	-10.51	369.48	0.02	7	0.0158	5.6	369.53	0.002	1	0.0015	0.6	236.95	28.916	6847	20.9326	4955.3
2650	369.56	-17.38	-6420	-12.855	-4575	14.871	7.98	118.6	6.617	98.41	14.87	-0.832	-12.4	-0.6949	-10.52	369.52	0.019	7	0.0158	5.6	369.57	0.002	1	0.0015	0.6	236.63	28.958	6848	20.9728	4964.8
2655	369.56	-17	-6280	-12.879	-4584	14.869	7.96	118.4	6.629	98.58	14.869	-0.791	-11.8	-0.6959	-10.54	369.56	0.02	7	0.0159	5.6	369.57	0.002	1	0.0015	0.6	236.81	28.993	6862	21.013	4974.3
2660	369.62	-17.34	-6410	-12.903	-4593	14.871	8	119	6.64	98.74	14.87	-0.797	-11.8	-0.697	-10.55	369.56	0.019	7	0.0159	5.6	369.63	0.002	1	0.0015	0.6	236.65	29.023	6864	21.0533	4983.8
2665	369.65	-17.4	-6430	-12.927	-4602	14.87	7.96	118.4	6.651	98.91	14.869	-0.75	-11.2	-0.6981	-10.57	369.61	0.019	7	0.0159	5.6	369.64	0.002	1	0.0016	0.6	236.88	28.984	6861	21.0935	4993.4
2670	369.65	-17.01	-6290	-12.951	-4611	14.869	7.97	118.5	6.662	99.07	14.869	-0.782	-11.6	-0.6992	-10.59	369.62	0.019	7	0.0159	5.6	369.67	0.002	1	0.0016	0.6	236.66	29.043	6869	21.1331	5002.8
2675	369.7	-17.3	-6390	-12.975	-4619	14.87	7.96	118.4	6.673	99.24	14.869	-0.777	-11.6	-0.7003	-10.6	369.65	0.019	7	0.016	5.6	369.71	0.002	1	0.0016	0.6	236.76	29.02	6867	21.1739	5012.4
2680	369.71	-17.11	-6330	-12.998	-4628	14.87	8.04	119.5	6.684	99.4	14.869	-0.803	-11.9	-0.7014	-10.62	369.69	0.019	7	0.016	5.6	369.73	0.002	1	0.0016	0.6	236.72	28.892	6835	21.2141	5021.9
2685	369.73	-16.99	-6280	-13.022	-4637	14.871	7.99	118.8	6.695	99.57	14.87	-0.781	-11.6	-0.7025	-10.64	369.71	0.02	7	0.016	5.6	369.75	0.002	1	0.0016	0.6	237.01	28.94	6855	21.2542	5031.4
2690	369.78	-17.3	-6400	-13.046	-4646	14.87	7.99	118.8	6.706	99.73	14.869	-0.782	-11.6	-0.7035	-10.65	369.74	0.019	7	0.016	5.6	369.79	0.002	1	0.0016	0.6	236.75	28.99	6859	21.2944	5040.9
2695	369.79	-17.08	-6320	-13.07	-4655	14.871	7.95	118.2	6.717	99.89	14.87	-0.786	-11.7	-0.7046	-10.67	369.76	0.02	7	0.0161	5.7	369.81	0.002	1	0.0016	0.6	236.99	28.923	6850	21.3345	5050.4
2700	369.83	-17.21	-6370	-13.094	-4663	14.87	8.01	119.1	6.728	100.06	14.869	-0.775	-11.5	-0.7057	-10.68	369.78	0.02	7	0.0161	5.7	369.84	0.002	1	0.0016	0.6	236.6	28.969	6850	21.3747	5059.9
2705	369.87	-17.32	-6410	-13.118	-4672	14.87	7.96	118.4	6.739	100.23	14.869	-0.759	-11.3	-0.7068	-10.7	369.82	0.019	7	0.0161	5.7	369.86	0.002	1	0.0016	0.6	237.02	28.887	6842	21.4148	5069.4
2710	369.87	-16.93	-6260	-13.141	-4681	14.87	8	118.9	6.75	100.39	14.869	-0.782	-11.6	-0.7079	-10.72	369.83	0.02	7	0.0162	5.7	369.88	0.002	1	0.0016	0.6	236.72	28.913	6840	21.455	5079
2715	369.92	-17.35	-6420	-13.165	-4690	14.869	7.95	118.3	6.761	100.55	14.869	-0.794	-11.8	-0.7089	-10.73	369.88	0.019	7	0.0162	5.7	369.93	0.002	1	0.0016	0.6	236.74	28.968	6854	21.4952	5088.5
2720	369.91	-16.9	-6250	-13.189	-4699	14.87	8	119	6.773	100.72	14.869	-0.813	-12.1	-0.71	-10.75	369.9	0.02	7	0.0162	5.7	369.92	0.002	1	0.0016	0.6	236.63	28.89	6832	21.5354	5098
2725	369.97	-17.36	-6420	-13.213	-4707	14.87	7.97	118.5	6.784	100.88	14.869	-0.752	-11.2	-0.7111	-10.76	369.92	0.019	7	0.0162	5.7	369.98	0.002	1	0.0016	0.6	236.83	28.964	6855	21.5755	5107.5
2730	369.97	-17.08	-6320	-13.237	-4716	14.869	10.46	155.5	6.796	101.07	14.868	-0.766	-11.4	-0.7122	-10.78	369.95	0.019	7	0.0163	5.7	369.97	0.003	1	0.0016	0.6	236.6	28.96	6848	21.6157	5117
2735	370	-17.06	-6310	-13.26	-4725	14.868	10.56	157	6.811	101.29	14.867	-0.77	-11.4	-0.7132	-10.8	369.95	0.017	6	0.0163	5.7	370	0.003	1	0.0016	0.6	236.87	28.876	6836	21.6559	5126.5
2740	370.03	-17.07	-6320	-13.284	-4734	14.868	10.6	157.5	6.826	101.51	14.868	-0.778	-11.6	-0.7143	-10.81	370	0.018	7	0.0163	5.7	370.03	0.003	1	0.0016	0.6	236.72	28.978	6855	21.6961	5136
2745	370.07	-17.12	-6340	-13.308	-4742	14.868	10.73	159.6	6.841	101.73	14.868	-0.778	-11.6	-0.7154	-10.83	370.01	0.019	7	0.0163	5.8	370.06	0.003	1	0.0016	0.6	236.94	28.929	6850	21.7362	5145.5
2750	370.09	-17.24	-6380	-13.331	-4751	14.868	10.62	157.9	6.855	101.95	14.868	-0.724	-10.8	-0.7165	-10.84	370.06	0.018	7	0.0164	5.8	370.08	0.003	1	0.0016	0.6	236.76	28.915	6842	21.7764	5155
2755	370.1	-16.89	-6250	-13.355	-4760	14.869	10.75	159.9	6.87	102.17	14.869	-0.808	-12	-0.7176	-10.86	370.06	0.018	7	0.0164	5.8	370.1	0.003	1	0.0016	0.6	236.98	28.952	6857	21.8166	5164.5
2760	370.15	-17.26	-6390	-13.379	-4769	14.869	10.72	159.5	6.885	102.4	14.868	-0.753	-11.2	-0.7187	-10.88	370.09	0.018	6	0.0164	5.8	370.16	0.003	1	0.0016	0.6	236.56	29.033	6864	21.8568	5174.1
2765	370.15	-16.88	-6250	-13.402	-4778	14.869	10.7	159.2	6.9	102.62	14.868	-0.748	-11.1	-0.7198	-10.89	370.13	0.019	7	0.0164	5.8	370.15	0.003	1	0.0016	0.6	236.98	28.925	6850	21.897	5183.6
2770	370.19	-17.06	-6320	-13.426	-4786	14.87	10.67	158.6	6.915	102.84	14.869	-0.802	-11.9	-0.7208	-10.91	370.13	0.018	6	0.0165	5.8	370.2	0.003	1	0.0016	0.6	236.69	28.914	6839	21.9372	5193.1
2775	370.21	-17.02	-6300	-13.45	-4795	14.87	10.68	158.8	6.93	103.06	14.869	-0.777	-11.6	-0.7219	-10.92	370.18	0.019	7	0.0165	5.8	370.22	0.002	1	0.0016	0.6	236.75	28.935	6846	21.9774	5202.6
2780	370.24	-17.05	-6310	-13.473	-4804	14.869	10.66	158.4	6.945	103.28	14.868	-0.764	-11.4	-0.723	-10.94	370.18	0.018	7	0.0165	5.8	370.23	0.003	1	0.0016	0.6	236.52	28.916	6835	22.0176	5212.1
2785	370.26	-16.99	-6290	-13.497	-4813	14.87	10.68	158.8	6.959	103.5	14.869	-0.787	-11.7	-0.7241	-10.96	370.24	0.018	7	0.0165	5.8	370.27	0.003	1	0.0016	0.6	236.78	28.966	6854	22.0577	5221.6
2790	370.28	-16.85	-6240	-13.521	-4821	14.87	10.7	159.1	6.974	103.72	14.869	-0.784	-11.7	-0.7251	-10.97	370.24	0.018	7	0.0166	5.8	370.3	0.003	1	0.0016	0.6	236.69	28.939	6845	22.098	5231.1
2795	370.33	-17.19	-6370	-13.545	-4830	14.871	10.67	158.7	6.989	103.94	14.87	-0.815	-12.1	-0.7262	-10.99	370.3	0.019	7	0.0166	5.9	370.34	0.003	1	0.0016	0.6	236.93	28.89	6841	22.1382	5240.6
2800	370.34	-16.93	-6270	-13.568	-4839	14.869	10.65	158.4	7.004	104.16	14.868	-0.746	-11.1	-0.7273	-11	370.29	0.018	7	0.0166	5.9	370.34	0.003	1	0.0016	0.6	236.71	28.994	6859	22.1783	5250.1
2805	370.38	-17.25	-6390	-13.592	-4848	14.869	10.65	158.3	7.019	104.38	14.868	-0.785	-11.7	-0.7284	-11.02	370.33	0.017	6	0.0166	5.9	370.4	0.003	1	0.0016	0.6	236.97	28.938	6853	22.2185	5259.7
2810	370.4	-17.11	-6340	-13.616	-4857	14.868	10.66	158.5	7.034	104.6	14.868	-0.742	-11	-0.7294	-11.04	370.37	0.019	7	0.0167	5.9	370.39	0.003	1	0.0016	0.6	236.84	28.948	6852	22.2587	5269.2
2815	370.42	-16.9	-6260	-13.639	-4865	14.87	10.65	158.3	7.048	104.82	14.869	-0.784	-11.7	-0.7305	-11.05	370.37	0.018	7	0.0167	5.9	370.41	0.003	1	0.0016	0.6	236.91	28.906	6844	22.2989	5278.7
2820	370.47	-17.27	-6400	-13.663	-4874	14.869	10.7	159.1	7.063	105.04	14.868	-0.769	-11.4	-0.7316	-11.07	370.43	0.018	7	0.0167	5.9	370.47	0.003	1	0.0017	0.6	236.77	28.988	6859	22.339	5288.2
2825	370.46	-16.88	-6250	-13.687	-4883	14.869	10.64	158.2	7.078	105.26	14.868	-0.774	-11.5	-0.7326	-11.08	370.46	0.019	7	0.0167	5.9	370.47	0.003	1	0.0017	0.6	236.99	28.966	6860	22.3792	5297.7
2830	370.51	-17.18	-6360	-13.71	-4892	14.869	9.79	145.5	7.092	105.47	14.868	-0.772	-11.5	-0.7337	-11.1	370.46	0.019	7	0.0168	5.9	370.51	0.003	1	0.0017	0.6	236.72	28.932	6845	22.4194	5307.2
2835	370.54	-17.25	-6390	-13.734	-4900	14.87	9.36	139.2	7.105	105.67	14.869	-0.735	-10.9	-0.7348	-11.12	370.5	0.018	7	0.0168	5.9	370.54	0.003	1	0.0017	0.6	236.9	28.901	6842	22.4596	5316.8
2840	370.55	-16.97	-6290	-13.758	-4909	14.872	9.42	140.1	7.118	105.86	14.871	-0.787	-11.7	-0.7359	-11.13	370.53	0.02	7	0.0168	5.9	370.56	0.002	1	0.0017	0.6	236.79	28.971	6856	22.4998	5326.3
2845	370.59	-17.13	-6350	-13.781	-4918	14.869	9.34	138.9	7.132	106.06	14.868	-0.732	-10.9	-0.737	-11.15	370.55	0.019	7	0.0168	5.9	370.58	0.002	1	0.0017	0.6	237.06	28.943	6857	22.54	5335.8
2850	370.61	-17.09	-6340	-13.805	-4927	14.87	9.41	139.9	7.145	106.25	14.869	-0.773	-11.5	-0.738	-11.16	370.58	0.018	7	0.0169	6	370.62	0.002	1	0.0017	0.6	236.8	28.964	6855	22.5801	5345.3
2855	370.62	-16.96	-6290	-13.829	-4936	14.87	9.39	139.6	7.158	106.44	14.869	-0.765	-11.4	-0.7391	-11.18	370.6	0.02	7	0.0169	6	370.62	0.002	1	0.0017	0.6	236.94	28.966	6859	22.6203	5354.8
2860	370.67	-17.08	-6330	-13.853	-4944	14.87	9.38	139.5	7.171	106.64	14.869	-0.777	-11.6	-0.7402	-11.2	370.62	0.018	7	0.0169	6	370.65	0.003	1	0.0017	0.6	236.79	28.887	6836	22.6605	5364.3
2865	370.7	-17.22	-6380	-13.876	-4953	14.869	9.45	140.5	7.184	106.83	14.869	-0.796	-11.8	-0.7412	-11.21	370.65	0.018	7	0.0169	6	370.7	0.003	1	0.0017	0.6	237.08	28.914	6850	22.7007	5373.9
2870	370.69	-16.86	-6250	-13.9	-4962	14.87	9.39	139.6	7.197	107.03	14.869	-0.784	-11.7	-0.7423	-11.23	370.68	0.019	7	0.017	6	370.7	0.002	1	0.0017	0.6	236.73	28.881	6833	22.7409	5383.4
2875	370.73	-16.89	-6260	-13.924	-4971	14.87	9.4	139.8	7.21	107.22	14.869	-0.757	-11.2	-0.7434	-11.24	370.7	0.019	7	0.017	6	370.74	0.003	1	0.0017	0.6	237.08	28.977	6865	22.7811	5392.9
2880	370.77	-17.14	-6360	-13.948	-4980	14.871	9.39	139.7	7.223	107.41	14.87	-0.791	-11.8	-0.7444	-11.26	370.71	0.018	7	0.017	6	370.76	0.003	1	0.0017	0.6	236.78	28.993	6861	22.8212	5402.4
2885	370.8	-17.27	-6400	-13.971	-4988	14.872	9.42	140.1	7.236	107.61	14.871	-0.791	-11.8	-0.7455	-11.28	370.76	0.019	7	0.0171	6	370.8	0.002	1	0.0017	0.6	237.29	28.912	6856	22.8614	5411.9
2890	370.8	-16.99	-6300	-13.995	-4997	14.869	9.35	139.1	7.249	107.8	14.869	-0.744	-11.1	-0.7466	-11.29	370.79	0.019	7	0.0171	6	370.81	0.003	1	0.0017	0.6	236.92	28.974	6860	22.9016	5421.5
2895	370.83	-16.95	-6290	-14.019	-5006	14.869	9.42	140.1	7.262	108	14.868	-0.75	-11.1	-0.7477	-11.31	370.81	0.02	7	0.0171	6	370.82	0.002	1	0.0017	0.6	236.95	28.98	6862	22.9418	5431
2900	370.86	-17.1	-6340	-14.042	-5015	14.871	9.37	139.3	7.275	108.19	14.87	-0.795	-11.8	-0.7487	-11.32	370.81	0.018	7	0.0171	6.1	370.85	0.002	1	0.0017	0.6	236.68	29.034	6868	22.982	5440.5
